game_id,ゲームタイトル,プラットフォーム,総合点_ゲーマー,コンテンツ量_ゲーマー,自由度_ゲーマー,ソーシャリティ_ゲーマー,BGM_ゲーマー,グラフィック_ゲーマー,感情移入_ゲーマー,ゲーム性_ゲーマー,総合点_カジュアル,コンテンツ量_カジュアル,自由度_カジュアル,ソーシャリティ_カジュアル,BGM_カジュアル,グラフィック_カジュアル,感情移入_カジュアル,敷居の低さ_カジュアル,会社,ジャンル,ゲームシステム,タグ,詳細URL,ゲームの価値_総合
4562,P5R,PS4/PS5/Switch/PC/XOne,1.0,1.0,0.6,0.4,1.0,0.8,0.8,0.8,0.9,1.0,0.6,0.4,1.0,0.8,0.8,0.6,ATLUS,ベーシックRPG,コマンドバトルRPG,学園,https://gamewith.jp/ps4/game/show/4562,0.95
7074,モンハンライズ サンブレイク,Switch/PC,1.0,0.8,0.6,1.0,0.8,0.8,0.4,1.0,0.9,0.8,0.6,1.0,0.8,0.8,0.4,0.6,CAPCOM,アクション,アクション,マルチプレイ,https://gamewith.jp/switch/game/show/7074,0.95
6360,モンスターハンターストーリーズ２　～破滅の翼～,Switch/PC,1.0,0.8,0.6,0.6,0.8,0.8,0.8,1.0,0.9,0.8,0.6,0.6,0.8,0.8,0.8,0.8,CAPCOM,ベーシックRPG,コマンドバトルRPG,オフライン/本格ストーリー,https://gamewith.jp/switch/game/show/6360,0.95
6355,モンハンライズ,Switch/PC,1.0,1.0,0.8,1.0,0.6,0.6,0.6,1.0,0.9,1.0,0.8,1.0,0.6,0.6,0.6,0.6,CAPCOM,アクション,アクション,和風/マルチプレイ,https://gamewith.jp/switch/game/show/6355,0.95
4679,エーペックス(Apex Legends),Switch/PS4/PC,1.0,0.8,0.8,1.0,0.6,0.8,0.4,1.0,0.9,0.8,0.8,1.0,0.6,0.8,0.4,0.6,ElectronicArts,シューティング,FPS,基本プレイ無料/大人数バトル,https://gamewith.jp/switch/game/show/4679,0.95
5959,ウィッチャー3,PS4/Switch/PS5,1.0,1.0,0.8,0.6,0.6,1.0,0.6,0.8,0.9,1.0,0.8,0.6,0.6,1.0,0.6,0.6,Spike-Chunsoft,,調査中,なし,https://gamewith.jp/ps4/game/show/5959,0.95
3257,ウィッチャー3 ワイルドハント コンプリートエディション,Switch,1.0,1.0,0.8,0.6,1.0,1.0,1.0,0.6,0.9,1.0,0.8,0.6,1.0,1.0,1.0,0.4,Spike-Chunsoft,アクションRPG,その他アクション,ファンタジー/オープンワールド/本格ストーリー,https://gamewith.jp/switch/game/show/3257,0.95
3749,大乱闘スマッシュブラザーズSPECIAL(スマブラSP),Switch,1.0,1.0,0.6,0.8,1.0,0.6,0.4,1.0,0.9,1.0,0.6,0.8,1.0,0.6,0.4,0.8,Nintendo,格闘ゲーム,対戦ゲーム,PvP/eSports,https://gamewith.jp/switch/game/show/3749,0.95
3806,マイクラ(マインクラフト),PS4/Switch/PC,1.0,0.8,1.0,1.0,0.6,0.6,0.2,0.8,0.9,0.8,1.0,1.0,0.6,0.6,0.2,0.6,Mojang,その他シミュレーション,その他シミュレーション,マルチプレイ,https://gamewith.jp/ps4/game/show/3806,0.95
4166,Hollow Knight（ホロウナイト）,Switch/PS4,1.0,1.0,0.6,0.6,0.8,0.8,0.6,1.0,0.8,1.0,0.6,0.6,0.8,0.8,0.6,0.6,TeamCherry,,調査中,なし,https://gamewith.jp/switch/game/show/4166,0.9
3618,フォートナイト,PS4/Switch/PS5/PC,1.0,1.0,1.0,1.0,0.6,0.8,0.4,1.0,0.9,1.0,1.0,1.0,0.6,0.8,0.4,0.6,EpicGames,シューティング,TPS,基本プレイ無料/大人数バトル,https://gamewith.jp/ps4/game/show/3618,0.95
3805,スカイリム(The Elder Scrolls V: Skyrim),PS4/Switch,1.0,1.0,1.0,0.6,0.6,0.8,0.6,0.8,0.9,1.0,1.0,0.6,0.6,0.8,0.6,0.6,BethesdaSoftworks,,調査中,なし,https://gamewith.jp/ps4/game/show/3805,0.95
3821,スプラトゥーン2,Switch,1.0,0.8,0.6,0.8,1.0,0.8,0.4,1.0,0.9,0.8,0.6,0.8,1.0,0.8,0.4,0.8,Nintendo,アクション/シューティング,アクション,PvP,https://gamewith.jp/switch/game/show/3821,0.95
3800,ゼルダの伝説 ブレス オブ ザ ワイルド,Switch,1.0,1.0,1.0,0.6,0.8,0.8,0.6,0.8,1.0,1.0,1.0,0.6,0.8,0.8,0.6,0.8,Nintendo,アクションRPG,アクションRPG,オープンワールド,https://gamewith.jp/switch/game/show/3800,1.0
3408,オーバーウォッチ,Switch/PS4/PC,1.0,1.0,0.8,1.0,0.6,0.8,0.4,1.0,0.9,1.0,0.8,1.0,0.6,0.8,0.4,0.6,SQUAREENIX,シューティング,FPS,なし,https://gamewith.jp/switch/game/show/3408,0.95
3666,No Man’s Sky,PS4/PS5/Switch/XOne/PC,0.9,1.0,1.0,0.6,0.6,0.8,0.6,0.6,0.9,1.0,1.0,0.6,0.6,0.8,0.6,0.8,HelloGamesLtd,アクション,アドベンチャー,SF,https://gamewith.jp/ps4/game/show/3666,0.9
3453,ニーア オートマタ,PS4/PC/Switch,0.9,0.6,0.6,0.4,0.8,0.8,1.0,0.6,0.8,0.6,0.6,0.4,0.8,0.8,1.0,0.6,SQUAREENIX,アクションRPG,アクションRPG,メカ/ファンタジー/本格ストーリー,https://gamewith.jp/ps4/game/show/3453,0.8500000000000001
7502,LIVE A LIVE(ライブアライブ),Switch,0.9,0.6,0.8,0.6,1.0,0.8,0.8,0.6,0.9,0.6,0.8,0.6,1.0,0.8,0.8,0.6,SQUAREENIX,ベーシックRPG,コマンドバトルRPG,ドット絵,https://gamewith.jp/switch/game/show/7502,0.9
7108,信長の野望・新生,Switch/PS4/PC,0.9,0.8,0.6,0.4,0.6,0.6,0.6,1.0,0.7,0.8,0.6,0.4,0.6,0.6,0.6,0.6,KOEITECMOGAMES,ストラテジー,シミュレーション,戦国,https://gamewith.jp/switch/game/show/7108,0.8
7527,カプコンFC,Switch/PS4/XOne/PC,0.9,1.0,0.6,0.8,0.6,0.4,0.4,1.0,0.8,1.0,0.6,0.8,0.6,0.4,0.4,0.8,CAPCOM,格闘ゲーム,格闘ゲーム,Steam/PvP,https://gamewith.jp/switch/game/show/7527,0.8500000000000001
7500,FE無双 風花雪月,Switch,0.9,1.0,0.8,0.6,0.8,0.6,0.8,0.8,0.8,1.0,0.8,0.6,0.8,0.6,0.8,0.6,KOEITECMOGAMES,アクション,アクション,原作あり/ファンタジー,https://gamewith.jp/switch/game/show/7500,0.8500000000000001
7349,OMORI,Switch/PC/XOne,0.9,0.6,0.6,0.6,1.0,0.6,1.0,0.6,0.9,0.6,0.6,0.6,1.0,0.6,1.0,0.6,"OMOCAT,LLC",ベーシックRPG,ホラーゲーム,その発想はなかった,https://gamewith.jp/switch/game/show/7349,0.9
